# Catalog of 6,669 unique galaxies from SDSS Data Release 1
# In addition, galaxies are selected by the following conditions:
#    12 < rPetrosian < 17.77 
#  0.01 <  redshift  < 0.30
#    good imaging magnitudes,
#  212 < RA < 228 and -1 < Dec < 4
# The listed parameters are:
# RA/Dec: equatorial position in decimal deg.
# redshift, determined from SDSS spectrum
# DM: distance module for WMAP cosmology (magnitudes)
# absolute magnitude Mr = r - DM
# u and r: model magnitude, u-r=2.22 is a good separator
#          of spiral and elliptical galaxies (see Strateva et al. 2001)
#
#    RA         Dec  redshift   DM     u      r  
 212.00218   -0.82182  0.055  36.91  17.39  14.58 
 212.02670   -0.82123  0.052  36.80  19.26  16.53 
 212.06743   -0.72791  0.052  36.81  19.08  17.44 
 212.08022   -0.64828  0.053  36.82  19.01  16.45 
 212.08557   -0.67546  0.053  36.82  19.20  17.02 
 212.09541   -0.74621  0.079  37.76  20.25  17.45 
 212.09795   -0.82854  0.175  39.61  20.31  17.12 
 212.33775   -0.80877  0.173  39.59  20.13  17.17 
 212.39491   -0.81996  0.083  37.86  19.87  17.08 
 212.61180   -0.83238  0.026  35.21  15.62  13.68 
 212.62367   -0.70255  0.079  37.75  19.43  17.11 
 212.54199   -0.75177  0.107  38.45  18.10  16.25 
 212.76974   -0.70936  0.140  39.08  19.84  17.21 
 212.90231   -0.69483  0.117  38.65  19.83  16.93 
 212.93297   -0.68413  0.137  39.03  19.04  16.90 
 212.98238   -0.72035  0.116  38.65  19.61  16.71 
 213.06502   -0.63305  0.026  35.21  16.95  14.45 
 212.99921   -0.81311  0.127  38.85  20.41  17.43 
 212.95392   -0.70688  0.118  38.67  18.67  16.67 
 212.97531   -0.80006  0.098  38.24  18.75  16.43 
 213.10120   -0.73205  0.054  36.90  18.59  17.29 
 213.10359   -0.83203  0.026  35.25  17.02  15.75 
 213.22638   -0.75829  0.119  38.69  19.69  16.86 
 213.25284   -0.83108  0.026  35.26  17.14  15.78 
 213.10548   -0.79181  0.187  39.77  20.08  16.82 
 213.23344   -0.79645  0.187  39.77  20.47  17.23 
 213.12123   -0.63351  0.136  39.02  18.75  17.09 
 213.14732   -0.66182  0.070  37.48  18.26  16.65 
 213.33459   -0.69377  0.123  38.77  19.35  17.05 
 213.34912   -0.63670  0.121  38.73  19.43  16.89 
 213.35495   -0.74743  0.160  39.40  19.55  17.21 
 213.35770   -0.82333  0.118  38.68  19.62  16.63 
 213.37741   -0.77040  0.187  39.77  20.39  17.19 
 213.36900   -0.77614  0.187  39.78  19.62  17.27 
 213.42738   -0.73567  0.122  38.76  19.33  17.26 
 213.47281   -0.75757  0.118  38.68  19.09  16.11 
 213.45464   -0.77522  0.120  38.71  18.38  15.36 
 213.46603   -0.63086  0.121  38.74  18.93  16.52 
 213.46143   -0.63862  0.122  38.76  18.40  16.90 
 213.50725   -0.63437  0.121  38.74  19.63  17.39 
 213.56111   -0.79592  0.119  38.69  18.48  16.74 
 213.58934   -0.66817  0.141  39.10  19.77  17.62 
 213.60344   -0.82934  0.040  36.19  17.96  16.42 
 213.62265   -0.64043  0.072  37.52  18.56  17.00 
 213.75264   -0.79695  0.039  36.12  16.52  13.78 
 213.83662   -0.78699  0.149  39.23  20.00  17.38 
 213.73422   -0.69092  0.148  39.22  19.34  17.50 
 213.81868   -0.66128  0.137  39.03  19.93  17.03 
 213.78577   -0.78299  0.038  36.10  18.10  15.88 
 213.88725   -0.74773  0.125  38.82  18.71  15.94 
 213.92194   -0.64773  0.148  39.22  19.72  16.61 
 213.98961   -0.66924  0.128  38.86  19.61  17.43 
 214.12062   -0.74389  0.049  36.66  16.55  14.25 
 214.01215   -0.68865  0.127  38.86  19.24  16.33 
 214.04112   -0.63239  0.084  37.88  19.15  17.34 
 214.14185   -0.64890  0.049  36.65  18.53  16.97 
 214.23689   -0.78229  0.126  38.82  18.86  16.50 
 214.25261   -0.67115  0.140  39.08  19.92  17.01 
 214.19798   -0.80515  0.198  39.91  20.26  17.54 
 214.17116   -0.81594  0.187  39.77  20.90  17.33 
